,Price
1562,133.33958240573665
47466,229.29668326204336
13700,272.3598251633219
24438,232.83708459747407
46038,221.58333917677584
45130,422.9303532602343
33605,301.2862335725604
1968,92.79872518922971
41765,179.7863137960863
7350,167.80319780296506
47338,202.88432321249093
23462,376.3023589454127
8410,125.03505655791342
20755,231.6611397257697
12037,240.16543685669973
35462,317.5971665579271
20129,100.60975609756098
45331,303.6252717200758
13480,122.19767824411336
38148,177.44839033970027
12790,83.42341495511586
47597,169.22609447677817
41206,207.60760292708017
3922,121.62257164952078
22675,105.59984947905642
29071,142.28932947623414
21163,134.29290434864413
25477,491.0745784237635
38740,136.06714516166738
43690,121.33822738643536
4149,97.48552949171608
47431,162.4477011897249
47975,173.9008484678494
86,278.3961755676892
36403,472.7281228812568
34925,192.93503588405252
5273,160.99172779040612
9633,281.6210152379172
31470,289.8685804828036
38359,195.91798564515
42212,259.2757113132116
20940,123.00383358028176
20716,124.17977845198617
47000,341.95825444685977
47849,229.29668326204336
19026,129.4559099437148
48506,133.23048874552978
46262,168.2911436785639
30777,370.7242054245503
6690,819.4661018921497
43008,126.94924368176184
12051,143.81726747191803
2715,90.45532303798656
24131,129.11874691314472
17020,216.69793621013133
45567,185.58773344552745
41109,195.91798564515
29603,177.0972976786848
43131,161.7843031819138
14940,470.68480300187616
13988,149.45716031395403
19849,199.10881801125703
35275,227.6540218100476
34038,456.7061235902694
46607,240.9835682397214
37454,235.1950997124354
13542,162.3819147436199
464,138.026386708223
28875,256.1207930572215
3622,83.42511658425703
46330,240.9835682397214
12240,180.71156648023688
37964,179.7863137960863
46304,123.64724306383376
26239,257.76711587760764
27210,150.99132152684683
9572,136.7205758623913
14115,207.5010574799079
44364,157.34224861478037
8765,299.149294194634
43672,196.3855703364272
3200,89.28362196236498
27647,206.73110844563607
36448,117.5975498562177
5014,96.07948820097018
27439,175.68616383263952
28976,253.53371433947177
38569,149.860893554345
28586,446.3886732989957
20124,158.53658536585365
20060,164.39962476547842
14285,194.1063119800724
32585,201.3235157050984
28534,194.0309038312284
36409,134.89818343347437
33676,257.9457544971572
9172,162.42871833224268
28210,305.275288694466
27203,249.06512382699492
26959,313.0365248477152
22374,210.7293210094311
15121,420.4971857410882
47968,206.3903887057944
31469,340.89849939416536
14667,193.94934333958724
6118,104.03332790280912
28735,535.5252945741904
28996,123.00383358028176
26896,479.31512970671935
3876,125.13767487638556
37553,198.255909101536
25260,214.02196665020344
1303,127.48107702762871
19573,277.67354596622886
37213,400.01870338765104
32148,266.5672476465654
2650,138.9637475687203
24468,436.9811143253604
6686,167.80319780296506
42129,184.4621607088584
6346,208.53212930853908
22126,89.3718102495355
45884,160.1103241941893
39203,131.62509059453393
3441,113.42066412016968
39003,122.27339676898976
37360,230.5192527996633
28479,317.9754933088737
31569,195.4981824960388
45172,160.1103241941893
23657,103.01277076130673
30999,230.21716842203367
45821,283.99130495757663
37882,112.92170294344562
2133,97.48552949171608
12387,141.23231658598488
45612,139.30766893392237
13389,34.77933919255534
5117,138.9637475687203
40332,161.5505108362752
23030,340.0832568969167
25023,146.9931089630518
20813,372.5393353559585
4990,120.4508705738992
6146,810.1566318337328
17224,332.7861163227017
14000,233.1155708041548
24953,180.3899433194572
29010,374.8912250993673
35687,725.3704911920962
21035,123.00383358028176
19165,260.0844277673545
27919,596.4392389284791
2258,104.2813957303213
25508,219.19612408570285
16201,226.54784240150093
47261,177.4069139611528
4420,245.82288566540907
29528,239.4223758790188
30792,369.5591387827384
30033,385.6370584397428
19876,378.28330206378985
24481,362.19102048495967
22155,370.8930125355723
2052,179.73894500035152
44120,375.7042994412363
19375,418.8555347091933
263,197.080120919551
46494,223.92071617231144
27705,756.8381194289611
20801,359.60394176721
34726,619.815453443937
31258,288.4705005126293
20178,343.8086303939962
1194,110.13990110842924
18969,222.0919324577861
31012,127.9243172709479
3177,48.50842453073372
17510,199.10881801125703
23597,128.88355793880382
32524,229.05210178022185
1817,118.10746842265604
43832,217.1930890982629
40754,322.63343698127323
18291,323.874296435272
30095,411.2685245596048
8902,252.8746377489016
33075,531.7364153229565
12591,170.13676740141938
29436,134.52809332298503
39101,265.1205199541767
29891,281.4801006617579
27279,464.7334132975846
46236,223.6869784727579
17416,237.1013133208255
11062,78.95849978850403
14896,124.29643527204502
47289,113.8302596825842
33229,382.3748718426694
3886,98.65723056733766
